810.00,777.90,800.00,4.32,2278.43
1562.55,1501.55,1553.70,4.18,1989.36
2048.90,1991.55,2029.30,1.74,1914.41
713.30,691.00,695.35,-0.41,1805.53
593.10,582.00,591.45,2.23,1656.79
3188.45,3060.90,3158.55,2.99,1482.71
1400.00,1336.15,1385.30,3.67,1461.06
364.30,356.30,360.80,1.01,1421.82
301.30,292.70,297.05,0.22,1344.38
637.60,617.55,628.90,0.10,1251.22
2617.00,2555.25,2605.65,2.88,1133.22
1354.40,1165.00,1298.90,10.22,993.74
1801.95,1775.00,1781.25,0.58,993.15
5260.00,5150.00,5193.55,0.20,958.41
137.25,130.80,132.35,0.42,951.05
634.65,591.00,627.95,7.27,920.82
470.20,452.20,467.45,5.00,824.87
2406.00,2325.00,2398.75,3.49,798.11
6875.00,6740.00,6851.80,0.99,746.10
4531.35,4023.90,4158.45,-6.99,727.28
81.00,78.00,79.15,3.13,717.91
223.70,215.40,221.35,3.15,664.00
718.00,697.30,710.55,1.07,647.28
74.20,70.85,72.25,2.12,605.40
2583.45,2521.50,2578.05,2.91,601.56
215.00,210.40,214.55,1.73,596.29
978.40,955.00,961.05,0.87,560.52
420.45,405.00,418.10,3.52,550.70
527.90,516.25,521.50,-0.19,547.30
1000.80,964.45,995.80,3.89,545.21
1563.00,1510.00,1552.20,3.08,538.00
2158.95,1990.00,2130.00,7.58,498.27
105.35,102.80,103.60,0.14,491.62
805.55,783.00,795.00,-0.54,450.86
1019.80,991.50,1016.90,2.61,437.58
230.85,226.90,230.10,1.43,419.58
2970.90,2875.00,2925.60,2.59,415.56
610.15,587.50,597.80,1.43,407.31
1428.20,1395.55,1423.55,1.81,398.78
4527.45,4421.05,4518.20,2.55,391.43
108.70,104.60,107.70,3.36,389.12
433.90,421.50,430.80,1.56,369.49
1441.65,1395.75,1422.60,1.21,366.22
815.90,790.25,812.20,3.14,361.75
6890.00,5861.10,6640.70,3.92,355.09
36.70,35.80,36.15,0.42,343.04
9645.00,9440.05,9502.35,0.37,338.77
106.30,102.60,103.50,1.07,329.58
1445.00,1411.10,1420.60,-0.60,317.48
1637.95,1546.10,1626.10,4.17,316.82
340.90,328.20,336.45,3.78,315.58
207.75,200.20,202.10,1.56,307.83
